277,304,247,352,272,244,266,474
277,304,247,348,274,243,272,474
277,305,251,349,278,241,277,478
280,306,256,354,280,242,283,481
284,293,261,357,278,246,288,481
288,271,262,356,256,251,292,480
290,270,262,349,236,252,294,478
287,231,262,347,234,249,293,477
256,209,263,353,240,247,293,478
220,210,266,357,245,248,294,481
209,219,270,357,244,250,298,484
219,228,271,353,225,252,303,483
228,233,270,354,219,252,307,481
231,234,258,359,225,250,308,480
219,238,239,363,233,250,308,481
203,239,241,361,236,253,308,485
186,244,251,358,238,258,311,482
173,249,259,357,239,260,314,479
186,251,263,361,240,259,319,477
186,251,265,365,242,257,321,476
192,252,264,365,242,259,321,466
198,255,264,362,246,265,319,456
197,260,266,363,249,267,320,451
197,265,271,365,234,265,323,449
199,270,275,369,206,263,328,447
202,271,278,369,194,264,332,450
209,269,277,365,201,271,333,453
212,261,277,366,210,273,332,456
213,261,276,370,218,271,330,455
219,270,279,374,214,269,331,438
216,276,284,372,216,272,333,424
214,275,287,370,217,276,339,424
216,276,287,369,216,279,342,430
220,276,285,373,208,278,342,430
230,279,286,376,204,275,340,429
242,283,290,374,204,277,339,426
245,267,295,371,204,282,340,426
246,220,296,372,211,284,344,431
247,208,295,375,219,283,349,432
250,212,294,380,224,279,352,428
239,220,296,379,229,281,351,425
238,230,302,375,221,288,349,427
256,238,305,368,209,289,348,431
259,242,305,366,213,286,349,434
258,242,302,370,221,284,354,433
257,245,303,372,226,289,356,430
259,250,306,369,229,293,358,431
263,256,309,368,231,293,358,434
266,258,309,370,232,291,357,440
260,258,308,374,233,290,357,439
240,259,306,375,236,293,360,436
217,263,310,372,239,299,365,434
212,269,314,370,243,299,369,438
215,272,316,371,245,296,367,441
223,272,315,376,245,296,365,443
229,271,313,380,246,298,350,441
234,273,315,376,248,303,331,438
236,278,321,374,251,304,330,439
229,282,323,373,254,301,338,445
230,282,322,376,256,298,344,448
238,280,321,378,256,301,339,448
240,282,322,377,255,304,335,444
244,287,326,374,257,307,336,443
248,292,327,376,255,307,340,448
250,291,327,380,242,305,345,452
251,290,323,383,239,303,348,451
250,290,325,381,240,303,348,448
251,293,325,378,242,306,346,447
253,295,325,379,244,310,346,451
256,299,325,384,248,311,348,455
260,300,322,386,250,308,353,455
264,293,325,384,250,303,358,448
264,292,331,382,250,304,360,441
263,295,333,382,252,305,359,410
262,301,327,387,255,309,358,393
261,299,320,389,249,310,358,389
262,295,323,388,249,309,360,392
266,295,327,386,249,308,364,390
270,298,328,382,251,306,369,389
270,301,326,385,253,307,370,394
269,305,323,388,257,309,370,402
268,306,319,389,259,312,367,401
270,304,320,386,261,294,367,397
273,306,319,385,255,264,369,394
277,311,319,387,249,259,374,395
280,315,317,392,251,259,377,401
281,311,,394,253,259,378,408
280,307,,391,246,264,376,409
278,309,,388,246,270,375,409
275,316,,391,244,271,375,405
276,318,,394,231,262,377,404
280,299,,395,222,260,381,407
284,268,,393,229,261,385,411
286,238,,390,234,265,386,413
285,226,,391,235,268,384,411
283,234,,396,238,268,382,409
283,226,,398,238,257,384,411
285,227,,395,253,256,388,411
289,236,,392,256,257,391,413
292,245,,393,260,259,393,415
294,248,,398,262,262,392,415
291,247,,400,259,264,391,413
259,248,,396,248,268,387,415
196,255,,395,247,270,382,418
164,259,,397,251,269,384,422
162,259,,402,255,269,388,423
173,258,,401,259,269,392,423
176,261,,398,261,272,394,418
181,267,,397,263,274,393,409
187,271,,399,264,277,391,410
192,270,,404,264,277,393,416
199,270,,403,263,276,395,418
205,272,,400,256,277,400,417
210,276,,400,251,278,404,416
214,276,,401,248,279,405,405
217,271,,405,226,276,404,380
218,270,,405,183,260,402,373
220,275,,401,153,,402,366
223,281,,400,138,,403,361
220,282,,405,137,,407,362
205,281,,407,147,,409,366
197,283,,407,154,,409,371
199,287,,403,148,,408,376
203,290,,403,145,,407,383
203,288,,407,146,,406,377
204,284,,411,147,,408,374
211,285,,410,156,,412,372
217,288,,405,163,,414,363
220,291,,406,168,,407,364
221,289,,408,171,,404,367
222,290,,412,173,,403,371
223,292,,410,176,,401,376
226,297,,407,170,,403,378
230,301,,407,170,,406,376
235,299,,410,177,,410,370
238,300,,413,181,,414,370
238,304,,415,183,,414,376
237,309,,413,184,,412,382
238,309,,409,187,,411,383
240,307,,410,190,,412,382
244,308,,413,195,,415,382
247,314,,411,198,,418,383
248,318,,395,200,,422,384
244,314,,371,201,,423,379
241,312,,336,202,,421,366
242,316,,300,204,,419,365
246,321,,283,206,,419,367
